station_address,latitude,longitude,free_bikes,ID,place_name,rating,place_address,result_ID
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Lee Chen Bistro,3.5,813 Yonge Street,170
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Blu Ristorante,4.0,90 Avenue Road,171
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Playa Cabana,4.0,111 Dupont Street,172
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Happy Burger,4.5,881 Yonge Street,173
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Kiro Sushi,4.0,4 Collier Street,174
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Bhoj Indian Cuisine,4.0,21 Davenport Road,175
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,The Rebel House,3.5,1068 Yonge Street,176
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Sassafraz,3.5,100 Cumberland Street,177
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Utsav,4.0,69 Yorkville Ave,178
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,Fieramosca,4.5,36A Prince Arthur Avenue,179
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9,The Oxley,4.0,121 Yorkville Avenue,180
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Joso's,4.5,202 Davenport Road,181
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Ristorante Sotto Sotto,4.0,120 Avenue Road,182
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Osteria Giulia,4.5,134 Avenue Road,183
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Blu Ristorante,4.0,90 Avenue Road,184
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Playa Cabana,4.0,111 Dupont Street,185
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Scaramouche Restaurant Pasta Bar & Grill,4.5,1 Benvenuto Place,186
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Mimi Chinese,4.0,265 Davenport Road,187
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,The Oxley,4.0,121 Yorkville Avenue,188
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Le Paradis Brasserie Bistro,3.5,166 Bedford Road,189
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Trattoria Nervosa,4.0,75 Yorkville Avenue,190
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Fieramosca,4.5,36A Prince Arthur Avenue,191
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Pisac Peruvian Bistro,4.5,16 Dupont St,192
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,PLANTA Yorkville,4.0,1221 Bay Street,193
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Figures,3.5,137 Avenue Road,194
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Sassafraz,3.5,100 Cumberland Street,195
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Gyubee Japanese Grill - Bloor,4.0,335 Bloor Street W,196
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Mineral,4.5,1027 Yonge Street,197
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Café Boulud,3.5,60 Yorkville Avenue,198
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Opus Restaurant,4.0,37 Prince Arthur Avenue,199
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10,Utsav,4.0,69 Yorkville Ave,200
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,PLANTA Yorkville,4.0,1221 Bay Street,201
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Portici,4.0,6 Scollard Street,202
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Trattoria Nervosa,4.0,75 Yorkville Avenue,203
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Eataly Toronto,3.5,55 Bloor Street W,204
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Café Boulud,3.5,60 Yorkville Avenue,205
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Sassafraz,3.5,100 Cumberland Street,206
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Lee Chen Bistro,3.5,813 Yonge Street,207
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Cafe Landwer - Yonge & Bloor,4.0,33 Bloor St E,208
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,The Oxley,4.0,121 Yorkville Avenue,209
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Mogouyan Hand-Pulled Noodles,4.0,760 Yonge Street,210
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Utsav,4.0,69 Yorkville Ave,211
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Naan & Kabob,4.0,691 Yonge Street,212
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Buca Yorkville,4.0,53 Scollard Street,213
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11,Kiro Sushi,4.0,4 Collier Street,214
