ID,place_name,rating,place_address
33,David A. Balfour Park,7.7,200 Mount Pleasant Rd
33,The Bagel House,8.4,1438 Yonge St
33,Kibo Sushi House,8.2,7 Walker Ave
33,Nutbar,8.0,1240B Yonge St
33,Boxcar Social,9.0,1208 Yonge St
33,Lcbo,9.2,10 Scrivener Sq
33,The Rosedale Diner,8.1,1164 Yonge St
33,Terroni,8.4,1095 Yonge St
33,The Market by Longo’s,7.8,111 St Clair Ave W
34,Outpost Coffee Roasters,8.2,1578 Bloor St W
34,Lcbo,7.4,2290 Dundas St W
34,The Gaslight,8.6,1426 Bloor St W
34,Cabin Fever Collective,8.9,1669 Bloor St W
34,Bandit Brewery,8.6,2125 Dundas St W
34,Rent Frock Repeat,8.1,35 Goldene Way
34,Hula Girl Espresso Boutique,7.7,2473 Dundas St W
34,Henderson Brewing Co,8.4,128A Sterling Rd
34,Revue Cinema,8.7,400 Roncesvalles Ave
34,La Cubana,8.6,392 Roncesvalles Ave
35,Toronto Public Library,8.5,190 Fort York Blvd
35,Roywoods,8.4,121 Fort York Blvd
35,Sansotei Ramen,8.3,115 Fort York Blvd
35,Tim Hortons,7.6,2 Bruyeres Mews
35,Canoe Landing Park,7.5,50 Fort York Blvd
35,Belgian Moon Brewery,8.5,28 Bathurst St
35,Hunters Landing,7.3,82 Fort York Blvd
35,Touti Gelati and Cafe,8.0,550 Queens Quay W
35,Victoria Memorial Square,8.8,Wellington St W
35,Toronto Music Garden,9.1,475 Queens Quay W
36,Yasu,8.6,81 Harbord St
36,The Dessert Kitchen,7.9,73 Harbord St
36,Rasa,9.2,196 Robert St
36,Her Father's Cider Bar + Kitchen,9.0,119 Harbord St
36,Toronto Public Library,8.4,239 College St
36,Pizza Fresca,8.1,302 College St
36,Free Times,7.8,320 College St
36,Café Pamenar,8.6,307 Augusta Ave
36,Coach House Books,7.9,80 Bpnichol Lane
36,Fresh on Bloor,8.7,326 Bloor St W
37,Honest Weight,9.1,2766 Dundas St W
37,TuckShop Kitchen,8.9,1640 Dupont St
37,Baguette & Co,8.4,1643 Dupont St
37,Mattachioni,8.8,1617 Dupont St
37,The Organic Garage,7.9,43 Junction Rd
37,The Den Toronto,8.5,1960 Davenport Rd
37,Cafe Con Leche,8.0,1571 Dupont St
37,The Hole in the Wall,8.9,2867A Dundas St W
37,Indie Alehouse,9.0,2876 Dundas St W
37,Nodo,9.0,2885 Dundas St W
38,Outpost Coffee Roasters,8.2,1578 Bloor St W
38,Lcbo,7.4,2290 Dundas St W
38,Hula Girl Espresso Boutique,7.7,2473 Dundas St W
38,The Gaslight,8.6,1426 Bloor St W
38,Cabin Fever Collective,8.9,1669 Bloor St W
38,Bandit Brewery,8.6,2125 Dundas St W
38,Rent Frock Repeat,8.1,35 Goldene Way
38,Propeller Coffee Co,8.7,50 Wade Ave
38,The Mugshot Tavern,8.3,1729 Bloor St W
38,Revue Cinema,8.7,400 Roncesvalles Ave
39,Café Pamenar,8.6,307 Augusta Ave
39,Free Times,7.8,320 College St
39,Pizza Fresca,8.1,302 College St
39,Trinity Common,8.0,303 Augusta Ave
39,Voodoo Child,8.8,388 College St
39,Wanda's Pie in the Sky,8.1,287 Augusta Ave
39,El Trompo,8.4,277 Augusta Ave
39,Cloak & Dagger Irish Pub,8.3,394 College St
39,Blue Banana Market,8.0,250 Augusta Ave
39,The Hogtown Vegan,7.4,382 College St
40,Kinka Izakaya,8.7,398 Church St
40,Loblaws,8.7,60 Carlton St
40,Golden Greek,8.4,105 Carlton St
40,Hair of the Dog,8.3,425 Church St
40,Banh Mi Boys,9.1,399 Yonge St
40,Marshalls,8.1,382 Yonge St
40,Bulk Barn,7.7,2 Carlton St
40,Allan Gardens Conservatory,8.5,19 Horticultural Ave
40,Page One Cafe,8.9,106 Mutual St
40,Hailed Coffee,9.2,44 Gerrard St W
41,Touti Gelati and Cafe,8.0,550 Queens Quay W
41,Toronto Music Garden,9.1,475 Queens Quay W
41,Ireland Park,8.0,Queens Quay W
41,Music Garden Cafe,7.6,466 Queens Quay W
41,Little Norway Park,7.7,659 Queen St W
41,Canoe Landing Park,7.5,50 Fort York Blvd
41,Starbucks,8.2,10 Lower Spadina Ave
41,Roywoods,8.4,121 Fort York Blvd
41,Sansotei Ramen,8.3,115 Fort York Blvd
41,Spadina Wave Deck,8.0,1 Spadina Cres
42,Banh Mi Boys,9.1,399 Yonge St
42,Marshalls,8.1,382 Yonge St
42,Hailed Coffee,9.2,44 Gerrard St W
42,Bulk Barn,7.7,2 Carlton St
42,Tim Hortons,8.3,70 Gerrard St W
42,W Burger Bar,7.6,10 College St
42,Neo Coffee Bar,8.2,770 Bay St
42,The Queen and Beaver Public House,8.5,35 Elm St
42,Fran's Restaurant,7.4,20 College St
42,Jimmy's Coffee,8.7,84 Gerrard St W
43,Maple Leaf Square,8.6,15 York St
43,Scotiabank Arena,8.7,50 Bay St
43,McCafé,8.1,65 Front St W
43,RS - Real Sports,8.2,15 York St
43,Wvrst Union Station,9.0,65 Front St W
43,Pilot Coffee Roasters,8.6,65 Front St W
